epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss,val_acc,val_loss
0,49,,,,1.0,0.00582176074385643,,
0,99,,,,1.0,0.0012999401660636067,,
0,149,,,,1.0,0.0004274880629964173,,
0,199,,,,1.0,0.00020643275638576597,,
0,249,,,,1.0,0.0001152124023064971,,
0,299,,,,1.0,8.367747068405151e-05,,
0,349,,,,1.0,5.830829104525037e-05,,
0,399,,,,1.0,4.795258428202942e-05,,
0,449,,,,1.0,3.8732912798877805e-05,,
0,499,,,,1.0,3.2774536521174014e-05,,
0,549,,,,1.0,2.7415877411840484e-05,,
0,599,,,,1.0,2.5342811568407342e-05,,
0,649,,,,1.0,2.2932610590942204e-05,,
0,699,,,,1.0,2.2252761482377537e-05,,
0,749,,,,1.0,2.1310284864739515e-05,,
0,799,,,,1.0,1.9658153178170323e-05,,
0,849,,,,1.0,1.952032107510604e-05,,
0,899,,,,1.0,1.874733789009042e-05,,
0,949,,,,1.0,1.878272814792581e-05,,
0,999,,,,1.0,1.8771552277030423e-05,,
0,1049,,,,1.0,1.8374816136201844e-05,,
0,1099,,,,1.0,1.9071432689088397e-05,,
0,1149,,,,1.0,1.9773637177422643e-05,,
0,1199,,,,1.0,1.8246297258883715e-05,,
0,1249,,,,1.0,1.8799495592247695e-05,,
0,1299,,,,1.0,1.631849409022834e-05,,
0,1349,,,,1.0,1.5346209693234414e-05,,
0,1399,,,,1.0,1.354133382847067e-05,,
0,1449,,,,1.0,1.2257988601049874e-05,,
0,1499,,,,1.0,1.0909451702900697e-05,,
0,1549,,,,1.0,9.624239282857161e-06,,
0,1599,,,,1.0,8.080120096565224e-06,,
0,1649,,,,1.0,7.087338872224791e-06,,
0,1699,,,,1.0,6.068478796805721e-06,,
0,1749,,,,1.0,4.980700396117754e-06,,
0,1799,,,,1.0,4.282211648387602e-06,,
0,1849,,,,1.0,3.576271865313174e-06,,
0,1899,,,,1.0,3.2558982638875023e-06,,
0,1949,,,,1.0,2.8349418244033586e-06,,
0,1999,,,,1.0,2.5182930585287977e-06,,
0,2049,,,,1.0,2.1290011318342295e-06,,
0,2099,,,,1.0,1.993028263314045e-06,,
0,2149,,,,1.0,1.773236590452143e-06,,
0,2199,,,,1.0,1.6763792700658087e-06,,
0,2249,,,,1.0,1.5571700942018651e-06,,
0,2299,,,,1.0,1.4305105651146732e-06,,
0,2349,,,,1.0,1.3336530173546635e-06,,
0,2399,,,,1.0,1.2628726153707248e-06,,
0,2449,,,,1.0,1.2218945357744815e-06,,
0,2499,,,,1.0,1.0933720204775454e-06,,
0,2549,,,,1.0,1.0933720204775454e-06,,
0,2599,,,,1.0,1.003965280688135e-06,,
0,2649,,,,1.0,1.0132785064342897e-06,,
0,2699,,,,1.0,1.0132785064342897e-06,,
0,2749,,,,1.0,1.0244543773296755e-06,,
0,2799,,,,1.0,1.0188664418819826e-06,,
0,2849,,,,1.0,1.0356302482250612e-06,,
0,2899,,,,1.0,9.965147000912111e-07,,
0,2949,,,,1.0,1.041218183672754e-06,,
0,2999,,,,1.0,1.0635699254635256e-06,,
0,3049,,,,1.0,1.0523940545681398e-06,,
0,3099,,,,1.0,9.797508937481325e-07,,
0,3149,,,,1.0,9.965147000912111e-07,,
0,3199,,,,1.0,9.61124442255823e-07,,
0,3249,,,,1.0,9.797508937481325e-07,,
0,3299,,,,1.0,9.424979907635134e-07,,
0,3349,,,,1.0,9.108330232265871e-07,,
0,3399,,,,1.0,9.387727004650515e-07,,
0,3449,,,,1.0,8.381899760934175e-07,,
0,3499,,,,1.0,8.381899760934175e-07,,
0,3549,,,,1.0,8.009370731087984e-07,,
0,3599,,,,1.0,7.376072517217835e-07,,
0,3599,,,,,,1.0,7.145478662096139e-07
0,3599,,,0.9987977147102356,,,,
1,3649,,,,1.0,7.227060905279359e-07,,
1,3699,,,,1.0,6.239858976186952e-07,,
1,3749,,,,1.0,5.997715675221116e-07,,
1,3799,,,,1.0,5.364416892916779e-07,,
1,3849,,,,1.0,5.494802053362946e-07,,
1,3899,,,,1.0,4.246829803378205e-07,,
1,3949,,,,1.0,4.228203351885895e-07,,
1,3999,,,,1.0,4.041939121179894e-07,,
1,4049,,,,1.0,4.116444642932038e-07,,
1,4099,,,,1.0,3.1106168307815096e-07,,
1,4149,,,,1.0,2.998858121827652e-07,,
1,4199,,,,1.0,3.0733639277968905e-07,,
1,4249,,,,1.0,3.0733639277968905e-07,,
1,4299,,,,1.0,2.8125936069045565e-07,,
1,4349,,,,1.0,2.831220058396866e-07,,
1,4399,,,,1.0,2.3841855067985307e-07,,
1,4449,,,,1.0,2.3841855067985307e-07,,
1,4499,,,,1.0,2.3841855067985307e-07,,
1,4549,,,,1.0,2.3841855067985307e-07,,
1,4599,,,,1.0,2.3841855067985307e-07,,
1,4649,,,,1.0,2.3841855067985307e-07,,
1,4699,,,,1.0,2.3841855067985307e-07,,
1,4749,,,,1.0,2.3841855067985307e-07,,
1,4799,,,,1.0,2.3841855067985307e-07,,
1,4849,,,,1.0,2.3841855067985307e-07,,
1,4899,,,,1.0,2.3841855067985307e-07,,
1,4949,,,,1.0,2.3841855067985307e-07,,
1,4999,,,,1.0,2.3841855067985307e-07,,
1,5049,,,,1.0,2.3841855067985307e-07,,
1,5099,,,,1.0,2.3841855067985307e-07,,
1,5149,,,,1.0,2.3841855067985307e-07,,
1,5199,,,,1.0,2.3841855067985307e-07,,
1,5249,,,,1.0,2.3841855067985307e-07,,
1,5299,,,,1.0,1.7136332530753862e-07,,
1,5349,,,,1.0,1.6577538985984575e-07,,
1,5399,,,,1.0,1.937150670983101e-07,,
1,5449,,,,1.0,1.7322597045676957e-07,,
1,5499,,,,1.0,1.7136332530753862e-07,,
1,5549,,,,1.0,1.6950068015830766e-07,,
1,5599,,,,1.0,1.7881390590446244e-07,,
1,5649,,,,1.0,1.8440184135215532e-07,,
1,5699,,,,1.0,1.1920928244535389e-07,,
1,5749,,,,1.0,1.1920928244535389e-07,,
1,5799,,,,1.0,1.1920928244535389e-07,,
1,5849,,,,1.0,1.1920928244535389e-07,,
1,5899,,,,1.0,1.1920928244535389e-07,,
1,5949,,,,1.0,1.1920928244535389e-07,,
1,5999,,,,1.0,1.1920928244535389e-07,,
1,6049,,,,1.0,1.1920928244535389e-07,,
1,6099,,,,1.0,1.1920928244535389e-07,,
1,6149,,,,1.0,1.1920928244535389e-07,,
1,6199,,,,1.0,1.1920928244535389e-07,,
1,6249,,,,1.0,1.1920928244535389e-07,,
1,6299,,,,1.0,1.1920928244535389e-07,,
1,6349,,,,1.0,1.1920928244535389e-07,,
1,6399,,,,1.0,6.332992796842518e-08,,
1,6449,,,,1.0,8.00937343115038e-08,,
1,6499,,,,1.0,6.70552182668871e-08,,
1,6549,,,,1.0,7.264315371457997e-08,,
1,6599,,,,1.0,6.146728281919422e-08,,
1,6649,,,,1.0,7.078050856534901e-08,,
1,6699,,,,1.0,6.70552182668871e-08,,
1,6749,,,,1.0,7.078050856534901e-08,,
1,6799,,,,1.0,5.960463766996327e-08,,
1,6849,,,,1.0,6.146728281919422e-08,,
1,6899,,,,1.0,6.519257311765614e-08,,
1,6949,,,,1.0,6.146728281919422e-08,,
1,6999,,,,1.0,5.215406062575312e-08,,
1,7049,,,,1.0,5.5879347371501353e-08,,
1,7099,,,,1.0,5.774199252073231e-08,,
1,7149,,,,1.0,5.5879347371501353e-08,,
1,7199,,,,1.0,6.519257311765614e-08,,
1,7199,,,,,,1.0,6.018206022417871e-08
1,7199,,,1.0,,,,
2,7200,1.0,6.064875890388066e-08,,,,,
2,7200,0.0,16.54923439025879,,,,,
2,7200,0.5,7.500125408172607,,,,,
2,7200,0.5,8.273921012878418,,,,,
2,7200,0.5,7.500125408172607,,,,,
2,7200,0.5337499976158142,6.303584098815918,,,,,
