1,6021,0.016458386555314064,1.0
6,639,0.016458338126540184,1.0
11,207,0.01645834557712078,1.0
16,137,0.01645834557712078,1.0
21,77,0.01645834371447563,1.0
26,51,0.01645834557712078,1.0
31,32,0.01645834371447563,1.0
36,25,0.3443528711795807,0.9199999570846558
41,18,0.9272764921188354,0.7777777910232544
46,16,1.809631586074829,0.5625
51,23,1.7984939813613892,0.5652173757553101
56,14,3.236851692199707,0.2142857313156128
61,11,3.3699254989624023,0.1818181872367859
66,11,3.3699254989624023,0.1818181872367859
71,10,3.2954037189483643,0.20000000298023224
76,13,3.799856662750244,0.07692307978868484
81,7,4.115140438079834,0.0
86,8,3.602804660797119,0.125
91,6,4.115139961242676,0.0
96,6,4.115139961242676,0.0
101,7,4.115140438079834,0.0
106,1,4.115139961242676,0.0
111,1,4.115139961242676,0.0
116,2,4.115139961242676,0.0
121,1,4.115139961242676,0.0
131,1,4.115139007568359,0.0
136,1,4.115139961242676,0.0
141,1,4.115139961242676,0.0
146,1,4.115139961242676,0.0
